doi,pubmed_id,title,abstract,authors,journal,year
10.1186_gb-2013-14-9-r103,24050704,Intraspecific variation of recombination rate in maize.,"BACKGROUND: In sexually reproducing organisms, meiotic crossovers ensure the proper segregation of chromosomes and contribute to genetic diversity by shuffling allelic combinations. Such genetic reassortment is exploited in breeding to combine favorable alleles, and in genetic research to identify genetic factors underlying traits of interest via linkage or association-based approaches. Crossover numbers and distributions along chromosomes vary between species, but little is known about their intraspecies variation. RESULTS: Here, we report on the variation of recombination rates between 22 European maize inbred lines that belong to the Dent and Flint gene pools. We genotype 23 doubled-haploid populations derived from crosses between these lines with a 50 k-SNP array and construct high-density genetic maps, showing good correspondence with the maize B73 genome sequence assembly. By aligning each genetic map to the B73 sequence, we obtain the recombination rates along chromosomes specific to each population. We identify significant differences in recombination rates at the genome-wide, chromosome, and intrachromosomal levels between populations, as well as significant variation for genome-wide recombination rates among maize lines. Crossover interference analysis using a two-pathway modeling framework reveals a negative association between re combination rate and interference strength. CONCLUSIONS: To our knowledge, the present work provides the most comprehensive study on intraspecific variation of recombination rates and crossover interference strength in eukaryotes. Differences found in recombination rates will allow for selection of high or low recombining lines in crossing programs. Our methodology should pave the way for precise identification of genes controlling recombination rates in maize and other organisms.","Bauer E, Falque M, Walter H, Bauland C, Camisan C, Campo L, Meyer N, Ranc N, Rincent R, Schipprack W, Altmann T, Flament P, Melchinger AE, Menz M, Moreno-González J, Ouzunova M, Revilla P, Charcosset A, Martin OC, Schön CC.",Genome Biol,2013
10.1101_gr.153510.112,23739895,The maize methylome influences mRNA splice sites and reveals widespread paramutation-like switches guided by small RNA.,"The maize genome, with its large complement of transposons and repeats, is a paradigm for the study of epigenetic mechanisms such as paramutation and imprinting. Here, we present the genome-wide map of cytosine methylation for two maize inbred lines, B73 and Mo17. CG (65%) and CHG (50%) methylation (where H = A, C, or T) is highest in transposons, while CHH (5%) methylation is likely guided by 24-nt, but not 21-nt, small interfering RNAs (siRNAs). Correlations with methylation patterns suggest that CG methylation in exons (8%) may deter insertion of Mutator transposon insertion, while CHG methylation at splice acceptor sites may inhibit RNA splicing. Using the methylation map as a guide, we used low-coverage sequencing to show that parental methylation differences are inherited by recombinant inbred lines. However, frequent methylation switches, guided by siRNA, persist for up to eight generations, suggesting that epigenetic inheritance resembling paramutation is much more common than previously supposed. The methylation map will provide an invaluable resource for epigenetic studies in maize.","Regulski M, Lu Z, Kendall J, Donoghue MT, Reinders J, Llaca V, Deschamps S, Smith A, Levy D, McCombie WR, Tingey S, Rafalski A, Hicks J, Ware D, Martienssen RA.",Genome Res,2013
10.3389_fpls.2016.01654,27867390,The Mechanisms of Maize Resistance to <i>Fusarium verticillioides</i> by Comprehensive Analysis of RNA-seq Data.,"Fusarium verticillioides is the most commonly reported fungal species responsible for ear rot of maize which substantially reduces grain yield. It also results in a substantial accumulation of mycotoxins that give rise to toxic response when ingested by animals and humans. For inefficient control by chemical and agronomic measures, it thus becomes more desirable to select more resistant varieties. However, the molecular mechanisms underlying the infection process remain poorly understood, which hampers the application of quantitative resistance in breeding programs. Here, we reveal the disease-resistance mechanism of the maize inbred line of BT-1 which displays high resistance to ear rot using RNA high throughput sequencing. By analyzing RNA-seq data from the BT-1 kernels before and after F. verticillioides inoculation, we found that transcript levels of genes associated with key pathways are dramatically changed compared with the control treatment. Differential gene expression in ear rot resistant and susceptible maize was confirmed by RNA microarray and qRT-PCR analyses. Further investigation suggests that the small heat shock protein family, some secondary metabolites, and the signaling pathways of abscisic acid, jasmonic acid, or salicylic acids (SA) may be involved in the pathogen-associated molecular pattern-triggered immunity against F. verticillioides. These data will not only provide new insights into the molecular resistant mechanisms against fungi invading, but may also result in the identification of key molecular factors associated with ear rot resistance in maize.","Wang Y, Zhou Z, Gao J, Wu Y, Xia Z, Zhang H, Wu J.",Front Plant Sci,2016
10.1093_nar_gky209,29579310,Transcriptional and epigenetic adaptation of maize chromosomes in Oat-Maize addition lines.,"By putting heterologous genomic regulatory systems into contact, chromosome addition lines derived from interspecific or intergeneric crosses allow the investigation of transcriptional regulation in new genomic environments. Here, we report the transcriptional and epigenetic adaptation of stably inherited alien maize chromosomes in two oat-maize addition (OMA) lines. We found that the majority of maize genes displayed maize-specific transcription in the oat genomic environment. Nevertheless, a quarter of the expressed genes encoded by the two maize chromosomes were differentially expressed genes (DEGs). Notably, highly conserved orthologs were more severely differentially expressed in OMAs than less conserved orthologs. Additionally, syntenic genes and highly abundant genes were over-represented among DEGs. Gene suppression was more common than activation among the DEGs; however, the genes in the former maize pericentromere, which expanded to become the new centromere in OMAs, were activated. Histone modifications (H3K4me3, H3K9ac and H3K27me3) were consistent with these transcriptome results. We expect that cis regulation is responsible for unchanged expression in OMA versus maize; and trans regulation is the predominant mechanism behind DEGs. The genome interaction identified here reveals the important consequences of interspecific/intergeneric crosses and potential mechanisms of plant evolution when genomic environments interact.","Dong Z, Yu J, Li H, Huang W, Xu L, Zhao Y, Zhang T, Xu W, Jiang J, Su Z, Jin W.",Nucleic Acids Res,2018
10.1371_journal.pone.0269374,35657937,Measurements of the number of specified and unspecified cells in the shoot apical meristem during a plastochron in rice (Oryza sativa) reveal the robustness of cellular specification process in plant development.,"The shoot apical meristem (SAM) is composed of a population of stem cells giving rise to the aboveground parts of plants. It maintains itself by controlling the balance of cell proliferation and specification. Although knowledge of the mechanisms maintaining the SAM has been accumulating, the processes of cellular specification to form leaves and replenishment of unspecified cells in the SAM during a plastochron (the time interval between which two successive leaf primordia are formed) is still obscure. In this study, we developed a method to quantify the number of specified and unspecified cells in the SAM and used it to elucidate the dynamics of cellular specification in the SAM during a plastochron in rice. OSH1 is a KNOX (KNOTTED1-like homeobox) gene in rice that is expressed in the unspecified cells in the SAM, but not in specified cells. Thus, we could visualize and count the nuclei of unspecified cells by fluorescent immunohistochemical staining with an anti-OSH1 antibody followed by fluorescein isothiocyanate detection. By double-staining with propidium iodide (which stains all nuclei) and then overlaying the images, we could also detect and count the specified cells. By using these measurements in combination with morphological observation, we defined four developmental stages of SAM that portray cellular specification and replenishment of unspecified cells in the SAM during a plastochron. In addition, through the analysis of mutant lines with altered size and shape of the SAM, we found that the number of specified cells destined to form a leaf primordium is not affected by mild perturbations of meristem size and shape. Our study highlights the dynamism and flexibility in stem cell maintenance in the SAM during a plastochron and the robustness of plant development.","Nosaka-Takahashi M, Kato M, Kumamaru T, Sato Y.",PLoS One,2022
10.1371_journal.pone.0012887,20886102,Maize global transcriptomics reveals pervasive leaf diurnal rhythms but rhythms in developing ears are largely limited to the core oscillator.,"BACKGROUND: Plant diurnal rhythms are vital environmental adaptations to coordinate internal physiological responses to alternating day-night cycles. A comprehensive view of diurnal biology has been lacking for maize (Zea mays), a major world crop. METHODOLOGY: A photosynthetic tissue, the leaf, and a non-photosynthetic tissue, the developing ear, were sampled under natural field conditions. Genome-wide transcript profiling was conducted on a high-density 105 K Agilent microarray to investigate diurnal rhythms. CONCLUSIONS: In both leaves and ears, the core oscillators were intact and diurnally cycling. Maize core oscillator genes are found to be largely conserved with their Arabidopsis counterparts. Diurnal gene regulation occurs in leaves, with some 23% of expressed transcripts exhibiting a diurnal cycling pattern. These transcripts can be assigned to over 1700 gene ontology functional terms, underscoring the pervasive impact of diurnal rhythms on plant biology. Considering the peak expression time for each diurnally regulated gene, and its corresponding functional assignment, most gene functions display temporal enrichment in the day, often with distinct patterns, such as dawn or midday preferred, indicating that there is a staged procession of biological events undulating with the diurnal cycle. Notably, many gene functions display a bimodal enrichment flanking the midday photosynthetic maximum, with an initial peak in mid-morning followed by another peak during the afternoon/evening. In contrast to leaves, in developing ears as few as 47 gene transcripts are diurnally regulated, and this set of transcripts includes primarily the core oscillators. In developing ears, which are largely shielded from light, the core oscillator therefore is intact with little outward effect on transcription.","Hayes KR, Beatty M, Meng X, Simmons CR, Habben JE, Danilevskaya ON.",PLoS One,2010
10.1371_journal.pone.0061005,23637782,Maize gene atlas developed by RNA sequencing and comparative evaluation of transcriptomes based on RNA sequencing and microarrays.,"Transcriptome analysis is a valuable tool for identification and characterization of genes and pathways underlying plant growth and development. We previously published a microarray-based maize gene atlas from the analysis of 60 unique spatially and temporally separated tissues from 11 maize organs [1]. To enhance the coverage and resolution of the maize gene atlas, we have analyzed 18 selected tissues representing five organs using RNA sequencing (RNA-Seq). For a direct comparison of the two methodologies, the same RNA samples originally used for our microarray-based atlas were evaluated using RNA-Seq. Both technologies produced similar transcriptome profiles as evident from high Pearson's correlation statistics ranging from 0.70 to 0.83, and from nearly identical clustering of the tissues. RNA-Seq provided enhanced coverage of the transcriptome, with 82.1% of the filtered maize genes detected as expressed in at least one tissue by RNA-Seq compared to only 56.5% detected by microarrays. Further, from the set of 465 maize genes that have been historically well characterized by mutant analysis, 427 show significant expression in at least one tissue by RNA-Seq compared to 390 by microarray analysis. RNA-Seq provided higher resolution for identifying tissue-specific expression as well as for distinguishing the expression profiles of closely related paralogs as compared to microarray-derived profiles. Co-expression analysis derived from the microarray and RNA-Seq data revealed that broadly similar networks result from both platforms, and that co-expression estimates are stable even when constructed from mixed data including both RNA-Seq and microarray expression data. The RNA-Seq information provides a useful complement to the microarray-based maize gene atlas and helps to further understand the dynamics of transcription during maize development.","Sekhon RS, Briskine R, Hirsch CN, Myers CL, Springer NM, Buell CR, de Leon N, Kaeppler SM.",PLoS One,2013
10.1371_journal.pone.0057234,23451190,Unlocking the genetic diversity of maize landraces with doubled haploids opens new avenues for breeding.,"Landraces are valuable genetic resources for broadening the genetic base of elite germplasm in maize. Extensive exploitation of landraces has been hampered by their genetic heterogeneity and heavy genetic load. These limitations may be overcome by the in-vivo doubled haploid (DH) technique. A set of 132 DH lines derived from three European landraces and 106 elite flint (EF) lines were genotyped for 56,110 single nucleotide polymorphism (SNP) markers and evaluated in field trials at five locations in Germany in 2010 for several agronomic traits. In addition, the landraces were compared with synthetic populations produced by intermating DH lines derived from the respective landrace. Our objectives were to (1) evaluate the phenotypic and molecular diversity captured within DH lines derived from European landraces, (2) assess the breeding potential (usefulness) of DH lines derived from landraces to broaden the genetic base of the EF germplasm, and (3) compare the performance of each landrace with the synthetic population produced from the respective DH lines. Large genotypic variances among DH lines derived from landraces allowed the identification of DH lines with grain yields comparable to those of EF lines. Selected DH lines may thus be introgressed into elite germplasm without impairing its yield level. Large genetic distances of the DH lines to the EF lines demonstrated the potential of DH lines derived from landraces to broaden the genetic base of the EF germplasm. The comparison of landraces with their respective synthetic population showed no yield improvement and no reduction of phenotypic diversity. Owing to the low population structure and rapid decrease of linkage disequilibrium within populations of DH lines derived from landraces, these would be an ideal tool for association mapping. Altogether, the DH technology opens new opportunities for characterizing and utilizing the genetic diversity present in gene bank accessions of maize.","Strigens A, Schipprack W, Reif JC, Melchinger AE.",PLoS One,2013
10.1371_journal.pone.0087053,24498020,Identification of the maize gravitropism gene lazy plant1 by a transposon-tagging genome resequencing strategy.,"Since their initial discovery, transposons have been widely used as mutagens for forward and reverse genetic screens in a range of organisms. The problems of high copy number and sequence divergence among related transposons have often limited the efficiency at which tagged genes can be identified. A method was developed to identity the locations of Mutator (Mu) transposons in the Zea mays genome using a simple enrichment method combined with genome resequencing to identify transposon junction fragments. The sequencing library was prepared from genomic DNA by digesting with a restriction enzyme that cuts within a perfectly conserved motif of the Mu terminal inverted repeats (TIR). Paired-end reads containing Mu TIR sequences were computationally identified and chromosomal sequences flanking the transposon were mapped to the maize reference genome. This method has been used to identify Mu insertions in a number of alleles and to isolate the previously unidentified lazy plant1 (la1) gene. The la1 gene is required for the negatively gravitropic response of shoots and mutant plants lack the ability to sense gravity. Using bioinformatic and fluorescence microscopy approaches, we show that the la1 gene encodes a cell membrane and nuclear localized protein. Our Mu-Taq method is readily adaptable to identify the genomic locations of any insertion of a known sequence in any organism using any sequencing platform.","Howard TP, Hayward AP, Tordillos A, Fragoso C, Moreno MA, Tohme J, Kausch AP, Mottinger JP, Dellaporta SL.",PLoS One,2014
10.1534_genetics.114.169979,25258377,A foundation for provitamin A biofortification of maize: genome-wide association and genomic prediction models of carotenoid levels.,"Efforts are underway for development of crops with improved levels of provitamin A carotenoids to help combat dietary vitamin A deficiency. As a global staple crop with considerable variation in kernel carotenoid composition, maize (Zea mays L.) could have a widespread impact. We performed a genome-wide association study (GWAS) of quantified seed carotenoids across a panel of maize inbreds ranging from light yellow to dark orange in grain color to identify some of the key genes controlling maize grain carotenoid composition. Significant associations at the genome-wide level were detected within the coding regions of zep1 and lut1, carotenoid biosynthetic genes not previously shown to impact grain carotenoid composition in association studies, as well as within previously associated lcyE and crtRB1 genes. We leveraged existing biochemical and genomic information to identify 58 a priori candidate genes relevant to the biosynthesis and retention of carotenoids in maize to test in a pathway-level analysis. This revealed dxs2 and lut5, genes not previously associated with kernel carotenoids. In genomic prediction models, use of markers that targeted a small set of quantitative trait loci associated with carotenoid levels in prior linkage studies were as effective as genome-wide markers for predicting carotenoid traits. Based on GWAS, pathway-level analysis, and genomic prediction studies, we outline a flexible strategy involving use of a small number of genes that can be selected for rapid conversion of elite white grain germplasm, with minimal amounts of carotenoids, to orange grain versions containing high levels of provitamin A.","Owens BF, Lipka AE, Magallanes-Lundback M, Tiede T, Diepenbrock CH, Kandianis CB, Kim E, Cepela J, Mateos-Hernandez M, Buell CR, Buckler ES, DellaPenna D, Gore MA, Rocheford T.",Genetics,2014
10.1111_pbi.12477,26442654,Development of a novel recessive genetic male sterility system for hybrid seed production in maize and other cross-pollinating crops.,"We have developed a novel hybridization platform that utilizes nuclear male sterility to produce hybrids in maize and other cross-pollinating crops. A key component of this platform is a process termed Seed Production Technology (SPT). This process incorporates a transgenic SPT maintainer line capable of propagating nontransgenic nuclear male-sterile lines for use as female parents in hybrid production. The maize SPT maintainer line is a homozygous recessive male sterile transformed with a SPT construct containing (i) a complementary wild-type male fertility gene to restore fertility, (ii) an α-amylase gene to disrupt pollination and (iii) a seed colour marker gene. The sporophytic wild-type allele complements the recessive mutation, enabling the development of pollen grains, all of which carry the recessive allele but with only half carrying the SPT transgenes. Pollen grains with the SPT transgenes exhibit starch depletion resulting from expression of α-amylase and are unable to germinate. Pollen grains that do not carry the SPT transgenes are nontransgenic and are able to fertilize homozygous mutant plants, resulting in nontransgenic male-sterile progeny for use as female parents. Because transgenic SPT maintainer seeds express a red fluorescent protein, they can be detected and efficiently separated from seeds that do not contain the SPT transgenes by mechanical colour sorting. The SPT process has the potential to replace current approaches to pollen control in commercial maize hybrid seed production. It also has important applications for other cross-pollinating crops where it can unlock the potential for greater hybrid productivity through expanding the parental germplasm pool.","Wu Y, Fox TW, Trimnell MR, Wang L, Xu RJ, Cigan AM, Huffman GA, Garnaat CW, Hershey H, Albertsen MC.",Plant Biotechnol J,2016
